service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
GN1 SA,0,0,0,0,0,0,0,20231217,20240511
9B 7E SHOW MF,0,0,0,0,0,0,0,20231217,20240511
8E 5E SHOW WED,0,0,0,0,0,0,0,20231217,20240511
1N 2 SHO HSEO,0,0,0,0,0,0,0,20231217,20240511
SV2 UI MF,0,0,0,0,0,0,0,20231217,20240511
Y1 SU,0,0,0,0,0,0,0,20231217,20240511
Y5 SA,0,0,0,0,0,0,0,20231217,20240511
5W 4 SHO HSEO,0,0,0,0,0,0,0,20231217,20240511
L2 NOSCH MF,0,0,0,0,0,0,0,20231217,20240511
B3 SCH MF,0,0,0,0,0,0,0,20231217,20240511
GN3 NO CHA WED,0,0,0,0,0,0,0,20231217,20240511
1N 16B 2 SHO MTTF,0,0,0,0,0,0,0,20231217,20240511
Y2 UI SA,0,0,0,0,0,0,0,20231217,20240511
SV1 NON UI SU,0,0,0,0,0,0,0,20231217,20240511
BA1 MF,0,0,0,0,0,0,0,20231217,20240511
I8 4S NOUI NOSCH,0,0,0,0,0,0,0,20231217,20240511
GN5 MF,0,0,0,0,0,0,0,20231217,20240511
RUB 2 SCH WED,0,0,0,0,0,0,0,20231217,20240511
LN2 MF,0,0,0,0,0,0,0,20231217,20240511
3N 7E K12EO,0,0,0,0,0,0,0,20231217,20240511
5E SHOW MF,0,0,0,0,0,0,0,20231217,20240511
1S  SHOW 2,0,0,0,0,0,0,0,20231217,20240511
Y2  UI MF,0,0,0,0,0,0,0,20231217,20240511
GN7 UIF,0,0,0,0,0,0,0,20231217,20240511
Y2 UI SU LATE,0,0,0,0,0,0,0,20231217,20240511
GN5 SA,0,0,0,0,0,0,0,20231217,20240511
7W 5E URB ONLY,0,0,0,0,0,0,0,20231217,20240511
10E 6E K12EO,0,0,0,0,0,0,0,20231217,20240511
5W 3 SHO K12EO,0,0,0,0,0,0,0,20231217,20240511
SV4 UI MTH SCH,0,0,0,0,0,0,0,20231217,20240511
GR2 SA,0,0,0,0,0,0,0,20231217,20240511
BB1 MF,0,0,0,0,0,0,0,20231217,20240511
LM2 SA,0,0,0,0,0,0,0,20231217,20240511
G2 NON UI MF,0,0,0,0,0,0,0,20231217,20240511
BA2 NOSCH MF,0,0,0,0,0,0,0,20231217,20240511
RUB 2 SCH MTTF,0,0,0,0,0,0,0,20231217,20240511
9A  2 SHO K12EO,0,0,0,0,0,0,0,20231217,20240511
GREY MF SHOW,0,0,0,0,0,0,0,20231217,20240511
GR5 SA,0,0,0,0,0,0,0,20231217,20240511
1N SHOW 2,0,0,0,0,0,0,0,20231217,20240511
R3 SA,0,0,0,0,0,0,0,20231217,20240511
5E SHOW 2 WED,0,0,0,0,0,0,0,20231217,20240511
Y4 SU,0,0,0,0,0,0,0,20231217,20240511
GNX1 SCH MF,0,0,0,0,0,0,0,20231217,20240511
9B SHOW K12EO,0,0,0,0,0,0,0,20231217,20240511
Y4 SA,0,0,0,0,0,0,0,20231217,20240511
I6 UI MF,0,0,0,0,0,0,0,20231217,20240511
GR1 SU,0,0,0,0,0,0,0,20231217,20240511
I2 UI SA,0,0,0,0,0,0,0,20231217,20240511
