service_id,date,exception_type
I2 UI SA,20240120,1
I2 UI SA,20240127,1
I2 UI SA,20240203,1
I2 UI SA,20240210,1
I2 UI SA,20240217,1
I2 UI SA,20240224,1
I2 UI SA,20240302,1
I2 UI SA,20240323,1
I2 UI SA,20240330,1
I2 UI SA,20240406,1
I2 UI SA,20240413,1
I2 UI SA,20240420,1
I2 UI SA,20240427,1
I2 UI SA,20240504,1
GN2 UISA,20240120,1
GN2 UISA,20240127,1
GN2 UISA,20240203,1
GN2 UISA,20240210,1
GN2 UISA,20240217,1
GN2 UISA,20240224,1
GN2 UISA,20240302,1
GN2 UISA,20240323,1
GN2 UISA,20240330,1
GN2 UISA,20240406,1
GN2 UISA,20240413,1
GN2 UISA,20240420,1
GN2 UISA,20240427,1
GN2 UISA,20240504,1
GNX5 MF,20231218,1
GNX5 MF,20231219,1
GNX5 MF,20231220,1
GNX5 MF,20231221,1
GNX5 MF,20231222,1
GNX5 MF,20231226,1
GNX5 MF,20231227,1
GNX5 MF,20231228,1
GNX5 MF,20231229,1
GNX5 MF,20240102,1
GNX5 MF,20240103,1
GNX5 MF,20240104,1
GNX5 MF,20240105,1
GNX5 MF,20240108,1
GNX5 MF,20240109,1
GNX5 MF,20240110,1
GNX5 MF,20240111,1
GNX5 MF,20240112,1
GNX5 MF,20240115,1
GNX5 MF,20240116,1
GNX5 MF,20240117,1
GNX5 MF,20240118,1
GNX5 MF,20240119,1
GNX5 MF,20240122,1
GNX5 MF,20240123,1
GNX5 MF,20240124,1
GNX5 MF,20240125,1
GNX5 MF,20240126,1
GNX5 MF,20240129,1
GNX5 MF,20240130,1
GNX5 MF,20240131,1
GNX5 MF,20240201,1
GNX5 MF,20240202,1
GNX5 MF,20240205,1
GNX5 MF,20240206,1
GNX5 MF,20240207,1
GNX5 MF,20240208,1
GNX5 MF,20240209,1
GNX5 MF,20240212,1
GNX5 MF,20240213,1
GNX5 MF,20240214,1
GNX5 MF,20240215,1
