fare_id,route_id,origin_id,destination_id,contains_id
FULL,,f,,
FULL,1 YELLOW ALT,i,,
FULL,10W GOLD ALT,i,,
FULL,1N YELLOW ALT,i,,
FULL,1N YELLOW ALT PM,i,,
FULL,1S YELLOW ALT,i,,
FULL,3S LAVENDER ALT,i,,
FULL,5E GREEN EXPRESS 1 ALT,i,,
FULL,5E GREEN EXPRESS ALT,i,,
FULL,5W GREEN ALT 2,i,,
FULL,5W GREEN EXPRESS 2,i,,
FULL,7E GREY ALT,i,,
FULL,7W GREY ALT,i,,
FULL,BLUE,i,,
FULL,BRONZE,i,,
FULL,BRONZE ALT,i,,
FULL,BRONZE YANKEE RIDGE,i,,
FULL,BROWN,i,,
FULL,BROWN ALT,i,,
FULL,BROWN ALT PM,i,,
FULL,BROWN ALT1,i,,
FULL,GOLD,i,,
FULL,GOLD ALT,i,,
FULL,GOLDHOPPER,i,,
FULL,GREEN,i,,
FULL,GREEN ALT,i,,
FULL,GREEN EVENING,i,,
FULL,GREEN EVENING SATURDAY,i,,
FULL,GREEN EXPRESS,i,,
FULL,GREEN EXPRESS ALT,i,,
ISTOP,GREEN LATE NIGHT,i,,
ISTOP,GREEN LATE NIGHT SATURDAY,i,,
ISTOP,GREEN LATE NIGHT SUNDAY,i,,
FULL,GREEN SATURDAY,i,,
FULL,GREEN SUNDAY,i,,
FULL,GREENHOPPER,i,,
FULL,GREENHOPPER EVENING,i,,
FULL,GREENHOPPER EVENING SATURDAY,i,,
FULL,GREY,i,,
FULL,GREY ALT,i,,
FULL,GREY EVENING,i,,
FULL,GREY EVENING SATURDAY,i,,
FULL,GREY SATURDAY,i,,
FULL,GREY SUNDAY,i,,
ISTOP,ILLINI,i,,
ISTOP,ILLINI EVENING,i,,
ISTOP,ILLINI EVENING SATURDAY,i,,
ISTOP,ILLINI EVENING SUNDAY,i,,
FULL,ILLINI LIMITED,i,,
FULL,ILLINI LIMITED EVENING,i,,
FULL,ILLINI LIMITED EVENING SATURDAY,i,,
FULL,ILLINI LIMITED SATURDAY,i,,
FULL,ILLINI LIMITED SUNDAY,i,,
FULL,LAVENDER,i,,
FULL,LAVENDER ALT,i,,
FULL,LAVENDER SATURDAY,i,,
FULL,LAVENDER SUNDAY,i,,
FULL,LIME EVENING,i,,
FULL,LIME EVENING SATURDAY,i,,
FULL,LIME SATURDAY,i,,
FULL,LIME SUNDAY,i,,
FULL,LINK,i,,
FULL,NAVY,i,,
FULL,ORANGE,i,,
FULL,ORANGE ALT,i,,
FULL,ORANGEHOPPER,i,,
FULL,PINK,i,,
FULL,PINK ALT,i,,
FULL,RAVEN,i,,
FULL,RED,i,,
FULL,RED SATURDAY,i,,
FULL,RUBY,i,,
FULL,RUBY EVENING,i,,
FULL,RUBY EVENING SATURDAY,i,,
FULL,RUBY SATURDAY,i,,
FULL,RUBY SUNDAY,i,,
FULL,SILVER,i,,
ISTOP,SILVER EVENING,i,,
ISTOP,SILVER EVENING SATURDAY,i,,
ISTOP,SILVER EVENING SUNDAY,i,,
ISTOP,SILVER LATE NIGHT,i,,
FULL,SILVER LIMITED EVENING,i,,
FULL,SILVER LIMITED EVENING SATURDAY,i,,
FULL,SILVER LIMITED SATURDAY,i,,
FULL,SILVER LIMITED SUNDAY,i,,
ISTOP,SILVER SATURDAY,i,,
ISTOP,SILVER SUNDAY,i,,
FULL,TEAL,i,,
FULL,TEAL EVENING,i,,
FULL,TEAL EVENING SATURDAY,i,,
ISTOP,TEAL LATE NIGHT,i,,
ISTOP,TEAL LATE NIGHT SATURDAY,i,,
ISTOP,TEAL LATE NIGHT SUNDAY,i,,
FULL,TEAL SATURDAY,i,,
FULL,TEAL SUNDAY,i,,
FULL,YELLOW,i,,
FULL,YELLOW EVENING,i,,
FULL,YELLOW EVENING SATURDAY,i,,
ISTOP,YELLOW LATE NIGHT,i,,
ISTOP,YELLOW LATE NIGHT SATURDAY,i,,
ISTOP,YELLOW LATE NIGHT SUNDAY,i,,
FULL,YELLOW SATURDAY,i,,
FULL,YELLOW SUNDAY,i,,
FULL,YELLOWHOPPER,i,,
