route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1 YELLOW ALT,1N SHOW MF,[@6.0.4561608@][1][1612729982966]/1__1N_SHOW_MF,Harris & Harvard,0,1N SHOW MF,1 YELLOW ALT 25,0,0
10W GOLD ALT,10W UHS UMS MF,[@36.0.28512748@][4][1175208157878]/0__10W_UHS_UMS_MF,Race & Iowa,1,10W UHS UMS MF,10W GOLD ALT 1,0,0
1N YELLOW ALT,3N 1N SHOW,[@2.0.83502711@][1][1445980249284]/0__3N_1N_SHOW,Newton & Nobel,0,3N 1N SHOW,[@6.0.4563144@]22,0,0
1N YELLOW ALT,3N 1N SHO HSEO,[@6.0.28928809@][1][1657995713668]/24__3N_1N_SHO_HSEO,Newton & Nobel,0,3N 1N SHO HSEO,[@4.0.3874538@]2,0,0
1N YELLOW ALT,1N 2 SHO HSEO,[@6.0.28928809@][1][1657995341026]/20__1N_2_SHO_HSEO,Newton & Nobel,0,1N 2 SHO HSEO,[@124.0.111412330@]1,0,0
1N YELLOW ALT,1N 2 SHO K12EO,[@6.0.28928809@][1][1657995320865]/19__1N_2_SHO_K12EO,Newton & Nobel,0,1N 2 SHO K12EO,[@6.0.4563144@]4,0,0
1N YELLOW ALT,3N 1N SHO K12EO,[@6.0.28928809@][1][1657995673037]/23__3N_1N_SHO_K12EO,Newton & Nobel,0,3N 1N SHO K12EO,[@6.0.4563144@]22,0,0
1N YELLOW ALT,1N SHOW 2,[@4.0.3874538@][1][1602533093620]/0__1N_SHOW_2,Newton & Nobel,0,1N SHOW 2,[@124.0.111412330@]1,0,0
1N YELLOW ALT PM,7W 2 SHO K12EO,[@6.0.28929293@][1][1659304136181]/1__7W_2_SHO_K12EO,Alternate,0,7W 2 SHO K12EO,4W BLUE ALT PM 1440,0,0
1N YELLOW ALT PM,1N 16B 2 SHO MTTF,[@6.0.4564311@][1][1610659918632]/0__1N_16B_2_SHO_MTTF,Alternate,0,1N 16B 2 SHO MTTF,4W BLUE ALT PM 1440,0,0
1N YELLOW ALT PM,1N SHOW 3 WED,[@6.0.4564311@][1][1610659918632]/0__1N_SHOW_3_WED,Alternate,0,1N SHOW 3 WED,4W BLUE ALT PM 1440,0,0
1N YELLOW ALT PM,1N SHOW HSEO,[@6.0.28929293@][1][1659304089206]/0__1N_SHOW_HSEO,Alternate,0,1N SHOW HSEO,4W BLUE ALT PM 1440,0,0
1S YELLOW ALT,1S 8E SHOW MF,[@36.0.28512730@][4][1175210801785]/6__1S_8E_SHOW_MF,Alternate,1,1S 8E SHOW MF,[@124.0.94414886@]4,0,0
1S YELLOW ALT,1S  SHOW 2,[@124.0.143436343@][2][1590609667676]/2__1S__SHOW_2,Alternate,1,1S  SHOW 2,[@124.0.143436343@]6,0,0
1S YELLOW ALT,B3 SCH MF,[@124.0.143436343@][2][1590608859288]/0__B3_SCH_MF,Alternate,1,B3 SCH MF,[@124.0.143436343@]1,0,0
3S LAVENDER ALT,3S 5W SHOW MF,[@36.0.28512104@][2][1175208212394]/2__3S_5W_SHOW_MF,Crescent & John,1,3S 5W SHOW MF,3S ALT 1,0,0
5E GREEN EXPRESS 1 ALT,GNX1 SHO MTTF,[@36.0.28512759@][3][1175211123269]/8__GNX1_SHO_MTTF,Harris & Harvard,0,GNX1 SHO MTTF,5E EXP 1 ALT,0,0
5E GREEN EXPRESS ALT,7W 5E AMSHOW MF,[@36.0.28512332@][3][1175211194847]/10__7W_5E_AMSHOW_MF,Crescent & John,0,7W 5E AMSHOW MF,5E GREEN EXP 2,0,0
5E GREEN EXPRESS ALT,5E SHOW MF,[@36.0.28512332@][3][1175173985841]/45__5E_SHOW_MF,University & Lynn,0,5E SHOW MF,5E GREEN EXP 1,0,0
5W GREEN ALT 2,ORANGE GREEN,[@36.0.28512376@][3][1175211427003]/21__ORANGE_GREEN,Fairlawn & Vine,0,ORANGE GREEN,7E ALT 2,0,0
5W GREEN EXPRESS 2,5W 3 SHO HSEO,[@6.0.28932325@][32][1659287470072]/13__5W_3_SHO_HSEO,Copper Ridge,1,5W 3 SHO HSEO,1505,0,0
5W GREEN EXPRESS 2,5W 4 SHO HSEO,[@6.0.28932325@][32][1659285669738]/10__5W_4_SHO_HSEO,Copper Ridge,1,5W 4 SHO HSEO,1525,0,0
5W GREEN EXPRESS 2,5W 3 SHOW MF,[@15.0.68509236@][4][1377030201632]/0__5W_3_SHOW_MF,Copper Ridge,1,5W 3 SHOW MF,1505,0,0
5W GREEN EXPRESS 2,5W 2 SHO K12EO,[@6.0.28932325@][32][1659285878830]/12__5W_2_SHO_K12EO,Copper Ridge,1,5W 2 SHO K12EO,1425,0,0
5W GREEN EXPRESS 2,5W 4 SHO K12EO,[@6.0.28932325@][32][1659285422486]/8__5W_4_SHO_K12EO,Copper Ridge,1,5W 4 SHO K12EO,1415,0,0
5W GREEN EXPRESS 2,5W 4 SHO HSEO,[@6.0.28932325@][32][1659285372373]/7__5W_4_SHO_HSEO,Copper Ridge,1,5W 4 SHO HSEO,[@6.0.28932325@]77,0,0
5W GREEN EXPRESS 2,5W 4 SHO K12EO,[@6.0.28932325@][32][1659285552449]/9__5W_4_SHO_K12EO,Copper Ridge,1,5W 4 SHO K12EO,[@6.0.4564273@]326,0,0
5W GREEN EXPRESS 2,5W 2 SHOW MF,[@36.0.28511544@][4][1175211269316]/12__5W_2_SHOW_MF,Copper Ridge,1,5W 2 SHOW MF,1425,0,0
5W GREEN EXPRESS 2,5W 2 SHO HSEO,[@6.0.28932325@][32][1659292307563]/15__5W_2_SHO_HSEO,Copper Ridge,1,5W 2 SHO HSEO,1425,0,0
5W GREEN EXPRESS 2,5W 4 SHOW MF,[@4.0.3875417@][32][1602528855621]/0__5W_4_SHOW_MF,Copper Ridge,1,5W 4 SHOW MF,[@6.0.4564273@]326,0,0
5W GREEN EXPRESS 2,5W 3 SHO K12EO,[@6.0.28932325@][32][1659287517688]/14__5W_3_SHO_K12EO,Copper Ridge,1,5W 3 SHO K12EO,[@6.0.28932325@]306,0,0
5W GREEN EXPRESS 2,5W 4 SHOW MF,[@6.0.4564273@][32][1610725341386]/0__5W_4_SHOW_MF,Copper Ridge,1,5W 4 SHOW MF,1415,0,0
7E GREY ALT,9B 7E SHOW MF,[@15.0.60391486@][3][1328805757375]/0__9B_7E_SHOW_MF,Fairlawn & Vine,0,9B 7E SHOW MF,[@15.0.60391486@]2,0,0
7E GREY ALT,5E SHOW MF,[@7.0.41202938@][3][1252953625765]/0__5E_SHOW_MF,Fairlawn & Vine,0,5E SHOW MF,7E GREY ALT 5,0,0
7E GREY ALT,GREY MF SHOW,[@36.0.28513123@][3][1175211352675]/15__GREY_MF_SHOW,Race & Iowa,0,GREY MF SHOW,7E GREY ALT 1,0,0
7W GREY ALT,7W 5E AMSHOW MF,[@6.0.14329867@][32][1628695556132]/0__7W_5E_AMSHOW_MF,John & Crescent,1,7W 5E AMSHOW MF,7W GREY ALT 1,0,0
7W GREY ALT,7W SHOW WED,[@6.0.14329867@][32][1628695583867]/1__7W_SHOW_WED,John & Crescent,1,7W SHOW WED,[@124.0.94416686@]2,0,0
BLUE,B3 NOSCH MF,[@14.0.56288268@][4][1302636576192]/6__B3_NOSCH_MF,Round Barn Road,1,B3 NOSCH MF,4W,0,0
